step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,DSC_0128,0.5,0.5,1,,What is this object and who made it?,"This object is a ceramic vessel known as a stirrup-spouted bottle, so named because its spout design is reminiscent of the stirrups on an equestrian saddle. This “stirrup” consists of a hollow ceramic tube that morphs into the vessel’s spout, hypothesized to be a functionally incorporated handle by which the vessel can be transported. This vessel was made by an unknown member of the Moche culture, a pre-Columbian civilization that flourished on the northern coast of Peru during the first millennium AD. This culture is known for its complex and masterful ceramic tradition, which included the production of such stirrup-spouted bottles, with this vessel form being one of the most characteristic and widely produced within the Moche pottery tradition. ",,,,,,,,
2,DSC_0128,0.5257760340697603,0.497716876159721,2.0735999999999994,,How was this Moche ceramic vessel constructed?,"Moche vessels were commonly made from terracotta clay using molds. The clay would be wrapped around the molds, shaped, and then cut along the edge to remove the mold. The spout portion would be rolled around a separate mold and then attached to the top of the vessel. From there, all seams would be smoothed, and then it would be painted prior to being fired.",,Learn more,Moche_Vessel-learn-more.md,,,,,
3,DSC_0128,0.581709637582457,0.6837293370481021,3.2248627200000004,,What is responsible for this vessel’s appearance?,"This vessel was formed from reddish earthenware clay, better known as ""terracotta."" The two primary kinds of clay available to Moche, as well as other ancient Andean potters, were white clay and terracotta. Terracotta is rich in iron oxide, which gives the ceramic a neutral reddish appearance. White clays, often painted on as slips, are rich in calcium and low in iron, which makes them appear white. The black patches are the result of carbon being embedded in the surface during the firing process.",,Learn more,Moche_Vessel-what-is-this.md,Go deeper,Moche_Vessel-go-deeper.md,,,
4,DSC_0128,0.43240543164386913,0.6796428667106243,5.159780351999998,,"What does this vessel symbolize? ","The design of this Moche stirrup spout vessel is largely symbolic in form and design. The rounded body resembles natural organic forms like fruits or gourds, which may symbolize fertility, abundance, or agricultural prosperity. The painted cream colored lines extending vertically across the reddish surface may imitate the segmented appearance of plants or flowing liquid. Moche artists frequently incorporated natural imagery into ceramics to emphasize the relationship between humans, agriculture, and the spiritual world. The simplicity of the design compared to highly detailed portrait vessels could suggest it was used more commonly in everyday ritual activity rather than elite display. However, the careful shaping and polished surface still demonstrate skilled craftsmanship and cultural importance.",,Learn more,Moche_Vessel-step4-layer1.md,,,,,
5,DSC_0128,0.5357813580641988,0.3327737797292831,2.488319999999999,,What were they used for?,"The exact nature of these stirrup-spouted vessels' intended function is still largely contested. Some scholars have purported that they were used to contain varying liquids, ranging from water and chicha (an alcoholic corn fermentation product notably consumed in ceremonial contexts) to hallucinogenic potions, while others claim that their function was largely symbolic as opposed to strictly utilitarian. Though many examples of these vessel forms have been removed from their primary context through looting, those recovered from intact archaeological contexts, where they appear predominantly as grave goods, provide insight into their significance as ritual objects.",,Learn more,Moche_Vessel-step5-layer1.md,Go deeper,Moche_Vessel-step5-layer2.md,,,
6,DSC_0128,0.5316885169973683,0.49165810697496654,1.08,,Who may have used this object?,"Due to the simple means of production via use of a mold, these vessels could seemingly be mass produced. Simple ceramic vessels were commonly recovered in kitchen and living areas. However, due to the looting of portable objects, it is difficult to come to concrete conclusions on specifically how accessible these vessels were due to the recontextualization of them. Additionally, more complex works like the Moche facial pots would require more specialized knowledge and were reserved for elite powers. 
",,Learn more,Moche_Vessel-step6-layer1.md,,,,,
